Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","050","Bangladesh","032","Argentina","5610","Import quantity","2165","Palm oil","2005","2005","t","870","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","032","Argentina","5610","Import quantity","2161","Soya bean oil","1986","1986","t","11793","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","032","Argentina","5610","Import quantity","2161","Soya bean oil","1998","1998","t","150811","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","032","Argentina","5610","Import quantity","2161","Soya bean oil","2005","2005","t","191050","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","032","Argentina","5610","Import quantity","2161","Soya bean oil","2006","2006","t","356171","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","032","Argentina","5610","Import quantity","2161","Soya bean oil","2007","2007","t","502029","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","032","Argentina","5610","Import quantity","2161","Soya bean oil","2015","2015","t","774012.86","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","076","Brazil","5610","Import quantity","2161","Soya bean oil","1986","1986","t","7546","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","076","Brazil","5610","Import quantity","2161","Soya bean oil","1998","1998","t","75537","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","076","Brazil","5610","Import quantity","2161","Soya bean oil","2005","2005","t","54313","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","076","Brazil","5610","Import quantity","2161","Soya bean oil","2006","2006","t","48215","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","076","Brazil","5610","Import quantity","2161","Soya bean oil","2007","2007","t","107417","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","076","Brazil","5610","Import quantity","2161","Soya bean oil","2015","2015","t","254441.43","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23162","Husked rice","2005","2005","t","26","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23162","Husked rice","2006","2006","t","10","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23162","Husked rice","2007","2007","t","13","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23162","Husked rice","2015","2015","t","48.78","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5610","Import quantity","0113","Rice","2006","2006","t","121","X","Figure from external organization"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","0113","Rice","2005","2005","t","23","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","0113","Rice","2006","2006","t","104","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23161.03","Rice, broken","2005","2005","t","8","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23161.02","Rice, milled","1998","1998","t","14","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23161.02","Rice, milled","2005","2005","t","72","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23161.02","Rice, milled","2006","2006","t","91","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23161.02","Rice, milled","2007","2007","t","195","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","23161.02","Rice, milled","2015","2015","t","20.3","I","Value imputed by a receiving agency"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2006","2006","t","78.65","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","1998","1998","t","14","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2005","2005","t","118.35","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2006","2006","t","167.6","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2007","2007","t","206.7","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2015","2015","t","64.2","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","124","Canada","5610","Import quantity","2161","Soya bean oil","2015","2015","t","21.44","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23162","Husked rice","2005","2005","t","1","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23162","Husked rice","2006","2006","t","2","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23162","Husked rice","2007","2007","t","0","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23162","Husked rice","2015","2015","t","0.46","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2006","2006","t","297","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2015","2015","t","2934","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","2165","Palm oil","2015","2015","t","0.03","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","0113","Rice","2005","2005","t","17480","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","0113","Rice","2006","2006","t","7284","X","Figure from external organization"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","0113","Rice","2007","2007","t","49377","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","0113","Rice","2015","2015","t","843.52","X","Figure from external organization"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23161.03","Rice, broken","2006","2006","t","0","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23161.03","Rice, broken","2007","2007","t","2","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23161.03","Rice, broken","2015","2015","t","0","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23161.02","Rice, milled","2005","2005","t","0","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23161.02","Rice, milled","2006","2006","t","4","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","23161.02","Rice, milled","2015","2015","t","131.38","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2005","2005","t","11362.9","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2006","2006","t","4740.4","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2007","2007","t","32097.05","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2015","2015","t","680.09","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","2161","Soya bean oil","2005","2005","t","7","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","2161","Soya bean oil","2006","2006","t","4","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","2161","Soya bean oil","2007","2007","t","8","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","156","China, mainland","5610","Import quantity","2161","Soya bean oil","2015","2015","t","9951.38","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","250","France","5910","Export quantity","23162","Husked rice","2015","2015","t","9.38","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","250","France","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2006","2006","t","31","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","250","France","5910","Export quantity","0113","Rice","2007","2007","t","38","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","250","France","5910","Export quantity","23161.02","Rice, milled","2015","2015","t","1.25","I","Value imputed by a receiving agency"
"TM","Detailed trade matrix","050","Bangladesh","250","France","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2007","2007","t","24.7","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","250","France","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2015","2015","t","9.69","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","250","France","5610","Import quantity","2161","Soya bean oil","2015","2015","t","26.4","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","39120.02","Bran of rice","1998","1998","t","6","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","39120.02","Bran of rice","2005","2005","t","198","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","39120.02","Bran of rice","2007","2007","t","1785","X","Figure from external organization"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5910","Export quantity","39120.02","Bran of rice","2005","2005","t","834","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5910","Export quantity","39120.02","Bran of rice","2006","2006","t","3790","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5910","Export quantity","39120.02","Bran of rice","2007","2007","t","11721","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23162","Husked rice","1998","1998","t","21912","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23162","Husked rice","2005","2005","t","8117","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23162","Husked rice","2007","2007","t","7000","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23162","Husked rice","2015","2015","t","2303.9","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","1986","1986","t","369","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","1998","1998","t","46956","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2005","2005","t","72359","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2006","2006","t","106445","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2007","2007","t","96446","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2015","2015","t","429946.86","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5910","Export quantity","2165","Palm oil","2006","2006","t","19","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5910","Export quantity","2165","Palm oil","2007","2007","t","744","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","0113","Rice","1998","1998","t","164798","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","0113","Rice","2005","2005","t","1300","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","0113","Rice","2006","2006","t","555418","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","0113","Rice","2007","2007","t","4036","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","0113","Rice","2015","2015","t","1280.73","X","Figure from external organization"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.03","Rice, broken","1998","1998","t","6867","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.03","Rice, broken","2005","2005","t","1233","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.03","Rice, broken","2015","2015","t","48045.86","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.02","Rice, milled","1998","1998","t","926370","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.02","Rice, milled","2005","2005","t","435831","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.02","Rice, milled","2006","2006","t","285006","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.02","Rice, milled","2007","2007","t","563674","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","23161.02","Rice, milled","2015","2015","t","1014393.94","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","1998","1998","t","1060076.5","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2005","2005","t","445214.3","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2006","2006","t","646027.7","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2007","2007","t","572597.4","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2015","2015","t","1065345.78","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","2161","Soya bean oil","1998","1998","t","31","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","356","India","5610","Import quantity","2161","Soya bean oil","2015","2015","t","6","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","360","Indonesia","5610","Import quantity","2165","Palm oil","1998","1998","t","17611","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","360","Indonesia","5610","Import quantity","2165","Palm oil","2005","2005","t","289419","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","360","Indonesia","5610","Import quantity","2165","Palm oil","2006","2006","t","783606","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","360","Indonesia","5610","Import quantity","2165","Palm oil","2007","2007","t","991041","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","360","Indonesia","5610","Import quantity","2165","Palm oil","2015","2015","t","2255594.34","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","360","Indonesia","5610","Import quantity","2161","Soya bean oil","2005","2005","t","2000","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","360","Indonesia","5610","Import quantity","2161","Soya bean oil","2015","2015","t","37018.2","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","39120.02","Bran of rice","2006","2006","t","42","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23162","Husked rice","2005","2005","t","572","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23162","Husked rice","2006","2006","t","1366","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23162","Husked rice","2007","2007","t","1647","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23162","Husked rice","2015","2015","t","35.82","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","2165","Palm oil","2007","2007","t","0","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","0113","Rice","2005","2005","t","476","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","0113","Rice","2006","2006","t","2481","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","0113","Rice","2007","2007","t","2971","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23161.03","Rice, broken","2006","2006","t","94","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23161.03","Rice, broken","2007","2007","t","219","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23161.03","Rice, broken","2015","2015","t","278","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5610","Import quantity","23161.02","Rice, milled","1986","1986","t","241","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5610","Import quantity","23161.02","Rice, milled","2006","2006","t","0","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23161.02","Rice, milled","2005","2005","t","1560","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23161.02","Rice, milled","2006","2006","t","3453","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23161.02","Rice, milled","2007","2007","t","5000","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","23161.02","Rice, milled","2015","2015","t","443.52","I","Value imputed by a receiving agency"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","1986","1986","t","241","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2006","2006","t","0","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2005","2005","t","2384.2","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2006","2006","t","6389.05","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2007","2007","t","8632.45","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2015","2015","t","753.75","E","Estimated value"
"TM","Detailed trade matrix","050","Bangladesh","380","Italy","5610","Import quantity","2161","Soya bean oil","2015","2015","t","13.04","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5910","Export quantity","23162","Husked rice","2005","2005","t","32","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5910","Export quantity","23162","Husked rice","2006","2006","t","49","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5910","Export quantity","23162","Husked rice","2007","2007","t","52","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5910","Export quantity","23162","Husked rice","2015","2015","t","185","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5610","Import quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2015","2015","t","53","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5610","Import quantity","2165","Palm oil","1986","1986","t","22535","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5610","Import quantity","2165","Palm oil","1998","1998","t","223235","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5610","Import quantity","2165","Palm oil","2005","2005","t","317941","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5610","Import quantity","2165","Palm oil","2006","2006","t","714750","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5610","Import quantity","2165","Palm oil","2007","2007","t","717464","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5610","Import quantity","2165","Palm oil","2015","2015","t","517333.91","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5910","Export quantity","0113","Rice","2005","2005","t","8","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5910","Export quantity","0113","Rice","2006","2006","t","27","A","Official figure"
"TM","Detailed trade matrix","050","Bangladesh","458","Malaysia","5910","Export quantity","0113","Rice","2007","2007","t","70","A","Official figure"
